ID,Name,Description,Flavor Profile
1,Cuscatleco,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Ethiopia.,Bright acidity with hints of citrus and berries
2,Yirgacheffe,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Brazil.,Floral and fruity with tea-like notes
3,Bourbon,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Colombia.,Rich and chocolatey with nutty undertones
4,Hybrid de Timor,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Ethiopia.,Floral and fruity with tea-like notes
5,Arabica Typica,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Costa Rica.,Sweet and balanced with honey notes
6,Colombia,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Brazil.,Bright acidity with hints of citrus and berries
7,Arabica Typica,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Guatemala.,Sweet and balanced with honey notes
8,SL28,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Brazil.,Floral and fruity with tea-like notes
9,Blue Mountain,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Brazil.,Smooth body with caramel sweetness
10,Timtim,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Kenya.,Smooth body with caramel sweetness
11,Mundo Novo,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Kenya.,Winey acidity and tropical fruit aroma
12,Caturra,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Panama.,Sweet and balanced with honey notes
13,Tico,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Colombia.,Sweet and balanced with honey notes
14,Harar,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Costa Rica.,Floral and fruity with tea-like notes
15,Villa Sarchi,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Guatemala.,Rich and chocolatey with nutty undertones
16,Blue Mountain,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Ethiopia.,Floral and fruity with tea-like notes
17,Sarchimor,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Guatemala.,Sweet and balanced with honey notes
18,Arabica Typica,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Ethiopia.,Rich and chocolatey with nutty undertones
19,Colombia,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Guatemala.,Floral and fruity with tea-like notes
20,Hybrid de Timor,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Kenya.,Floral and fruity with tea-like notes
21,K7,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Kenya.,Bright acidity with hints of citrus and berries
22,SL28,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Ethiopia.,Floral and fruity with tea-like notes
23,Parainema,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Brazil.,Smooth body with caramel sweetness
24,Timtim,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Brazil.,Winey acidity and tropical fruit aroma
25,Ethiopian Heirloom,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Kenya.,Rich and chocolatey with nutty undertones
26,Maracaturra,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Kenya.,Rich and chocolatey with nutty undertones
27,Sarchimor,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Indonesia.,Smooth body with caramel sweetness
28,S288,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Indonesia.,Bright acidity with hints of citrus and berries
29,Limu,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Colombia.,Winey acidity and tropical fruit aroma
30,Villa Sarchi,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Ethiopia.,Smooth body with caramel sweetness
31,Batian,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Indonesia.,Winey acidity and tropical fruit aroma
32,SL34,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Ethiopia.,Rich and chocolatey with nutty undertones
33,Timtim,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Brazil.,Winey acidity and tropical fruit aroma
34,Colombia,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Brazil.,Bright acidity with hints of citrus and berries
35,Castillo,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Yemen.,Sweet and balanced with honey notes
36,Bale,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Panama.,Earthy and spicy with bold depth
37,Catimor,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Ethiopia.,Smooth body with caramel sweetness
38,Pacas,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Colombia.,Sweet and balanced with honey notes
39,Yirgacheffe,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Ethiopia.,Bright acidity with hints of citrus and berries
40,Cuscatleco,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Panama.,Rich and chocolatey with nutty undertones
41,SL34,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Ethiopia.,Sweet and balanced with honey notes
42,Sidamo,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Panama.,Sweet and balanced with honey notes
43,Java,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Brazil.,Rich and chocolatey with nutty undertones
44,S795,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Colombia.,Sweet and balanced with honey notes
45,Bourbon,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Panama.,Earthy and spicy with bold depth
46,Maracaturra,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Guatemala.,Floral and fruity with tea-like notes
47,Pacamara,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Costa Rica.,Winey acidity and tropical fruit aroma
48,Bourbon,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Guatemala.,Bright acidity with hints of citrus and berries
49,Java,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Brazil.,Winey acidity and tropical fruit aroma
50,Ruiru 11,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Brazil.,Bright acidity with hints of citrus and berries
51,Blue Mountain,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Costa Rica.,Rich and chocolatey with nutty undertones
52,Villalobos,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Ethiopia.,Earthy and spicy with bold depth
53,Jimma,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Indonesia.,Winey acidity and tropical fruit aroma
54,Arabica Typica,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Colombia.,Bright acidity with hints of citrus and berries
55,Lekempti,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Guatemala.,Rich and chocolatey with nutty undertones
56,Castillo,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Costa Rica.,Floral and fruity with tea-like notes
57,Laurina,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Guatemala.,Earthy and spicy with bold depth
58,Tico,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Guatemala.,Bright acidity with hints of citrus and berries
59,Bale,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Panama.,Smooth body with caramel sweetness
60,Pacas,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Ethiopia.,Bright acidity with hints of citrus and berries
61,Geisha (Gesha),A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Kenya.,Floral and fruity with tea-like notes
62,Castillo,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Yemen.,Bright acidity with hints of citrus and berries
63,Kaffa,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Colombia.,Smooth body with caramel sweetness
64,Icatu,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Kenya.,Rich and chocolatey with nutty undertones
65,Ruiru 11,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Yemen.,Smooth body with caramel sweetness
66,Mokka,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Guatemala.,Winey acidity and tropical fruit aroma
67,Kaffa,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Kenya.,Earthy and spicy with bold depth
68,Marsellesa,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Kenya.,Bright acidity with hints of citrus and berries
69,K7,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Kenya.,Sweet and balanced with honey notes
70,Mundo Novo,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Costa Rica.,Smooth body with caramel sweetness
71,Lekempti,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Ethiopia.,Rich and chocolatey with nutty undertones
72,Mokka,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Ethiopia.,Earthy and spicy with bold depth
73,Blue Mountain,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Ethiopia.,Bright acidity with hints of citrus and berries
74,Kent,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Ethiopia.,Bright acidity with hints of citrus and berries
75,Bourbon,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Yemen.,Rich and chocolatey with nutty undertones
76,Marsellesa,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Colombia.,Sweet and balanced with honey notes
77,Kent,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Costa Rica.,Floral and fruity with tea-like notes
78,Villalobos,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Ethiopia.,Floral and fruity with tea-like notes
79,Ethiopian Heirloom,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Costa Rica.,Sweet and balanced with honey notes
80,SL28,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Brazil.,Bright acidity with hints of citrus and berries
81,Kent,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Guatemala.,Earthy and spicy with bold depth
82,Villalobos,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Yemen.,Smooth body with caramel sweetness
83,Ethiopian Heirloom,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Yemen.,Rich and chocolatey with nutty undertones
84,K7,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Panama.,Floral and fruity with tea-like notes
85,Maracaturra,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Colombia.,Smooth body with caramel sweetness
86,Maragogipe,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Indonesia.,Winey acidity and tropical fruit aroma
87,Yirgacheffe,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Yemen.,Winey acidity and tropical fruit aroma
88,Jimma,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Colombia.,Winey acidity and tropical fruit aroma
89,Catimor,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Yemen.,Smooth body with caramel sweetness
90,Ethiopian Heirloom,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Panama.,Smooth body with caramel sweetness
91,Maragogipe,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Colombia.,Bright acidity with hints of citrus and berries
92,SL34,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Panama.,Winey acidity and tropical fruit aroma
93,S288,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Colombia.,Rich and chocolatey with nutty undertones
94,Timtim,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Indonesia.,Rich and chocolatey with nutty undertones
95,SL34,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Colombia.,Winey acidity and tropical fruit aroma
96,Harrar Longberry,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Brazil.,Winey acidity and tropical fruit aroma
97,Tupi,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Colombia.,Winey acidity and tropical fruit aroma
98,Lekempti,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Brazil.,Floral and fruity with tea-like notes
99,Mokka,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Brazil.,Rich and chocolatey with nutty undertones
100,Blue Mountain,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Colombia.,Floral and fruity with tea-like notes
101,Arabica Typica,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Colombia.,Winey acidity and tropical fruit aroma
102,Colombia,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Colombia.,Bright acidity with hints of citrus and berries
103,K7,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Colombia.,Earthy and spicy with bold depth
104,Bale,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Yemen.,Winey acidity and tropical fruit aroma
105,Villa Sarchi,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Colombia.,Winey acidity and tropical fruit aroma
106,Java,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Panama.,Bright acidity with hints of citrus and berries
107,Bale,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Kenya.,Rich and chocolatey with nutty undertones
108,Pacas,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Yemen.,Floral and fruity with tea-like notes
109,Lekempti,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Kenya.,Smooth body with caramel sweetness
110,Sidamo,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Panama.,Floral and fruity with tea-like notes
111,Timtim,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Ethiopia.,Winey acidity and tropical fruit aroma
112,Maragogipe,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Indonesia.,Smooth body with caramel sweetness
113,Caturra,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Ethiopia.,Sweet and balanced with honey notes
114,Maragogipe,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Costa Rica.,Sweet and balanced with honey notes
115,Rume Sudan,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Costa Rica.,Winey acidity and tropical fruit aroma
116,Ruiru 11,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Kenya.,Smooth body with caramel sweetness
117,Blue Mountain,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Kenya.,Winey acidity and tropical fruit aroma
118,S795,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Costa Rica.,Smooth body with caramel sweetness
119,K7,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Panama.,Winey acidity and tropical fruit aroma
120,Rume Sudan,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Costa Rica.,Earthy and spicy with bold depth
121,Java,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Ethiopia.,Sweet and balanced with honey notes
122,Sarchimor,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Brazil.,Rich and chocolatey with nutty undertones
123,Limu,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Yemen.,Smooth body with caramel sweetness
124,Batian,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Colombia.,Winey acidity and tropical fruit aroma
125,Obata,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Ethiopia.,Winey acidity and tropical fruit aroma
126,K7,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Panama.,Rich and chocolatey with nutty undertones
127,Gimma,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Panama.,Smooth body with caramel sweetness
128,Hybrid de Timor,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Panama.,Sweet and balanced with honey notes
129,Kent,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Costa Rica.,Smooth body with caramel sweetness
130,Tupi,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Kenya.,Sweet and balanced with honey notes
131,Ethiopian Heirloom,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Costa Rica.,Smooth body with caramel sweetness
132,Kent,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Costa Rica.,Bright acidity with hints of citrus and berries
133,Maragogipe,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Brazil.,Sweet and balanced with honey notes
134,Ruiru 11,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Indonesia.,Rich and chocolatey with nutty undertones
135,Catuaí,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Colombia.,Smooth body with caramel sweetness
136,S795,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Brazil.,Bright acidity with hints of citrus and berries
137,Parainema,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Guatemala.,Rich and chocolatey with nutty undertones
138,Harar,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Guatemala.,Sweet and balanced with honey notes
139,Kent,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Indonesia.,Winey acidity and tropical fruit aroma
140,Colombia,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Kenya.,Sweet and balanced with honey notes
141,Arabica Typica,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Guatemala.,Floral and fruity with tea-like notes
142,Timtim,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Colombia.,Smooth body with caramel sweetness
143,S795,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Ethiopia.,Earthy and spicy with bold depth
144,Mokka,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Brazil.,Earthy and spicy with bold depth
145,Catuaí,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Kenya.,Winey acidity and tropical fruit aroma
146,Pacamara,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Colombia.,Sweet and balanced with honey notes
147,Ethiopian Heirloom,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Costa Rica.,Bright acidity with hints of citrus and berries
148,Tupi,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Brazil.,Winey acidity and tropical fruit aroma
149,Catuaí,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Indonesia.,Sweet and balanced with honey notes
150,Gimma,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Costa Rica.,Rich and chocolatey with nutty undertones
151,Colombia,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Indonesia.,Winey acidity and tropical fruit aroma
152,Geisha (Gesha),A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Guatemala.,Bright acidity with hints of citrus and berries
153,Kent,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Yemen.,Smooth body with caramel sweetness
154,Bale,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Costa Rica.,Winey acidity and tropical fruit aroma
155,Colombia,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Kenya.,Earthy and spicy with bold depth
156,Java,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Indonesia.,Winey acidity and tropical fruit aroma
157,Cuscatleco,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Panama.,Smooth body with caramel sweetness
158,Catimor,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Costa Rica.,Winey acidity and tropical fruit aroma
159,Mokka,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Panama.,Bright acidity with hints of citrus and berries
160,Villalobos,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Indonesia.,Smooth body with caramel sweetness
161,Pacamara,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Colombia.,Floral and fruity with tea-like notes
162,Sidamo,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Indonesia.,Earthy and spicy with bold depth
163,Blue Mountain,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Brazil.,Winey acidity and tropical fruit aroma
164,Lekempti,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Colombia.,Floral and fruity with tea-like notes
165,Bourbon,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Ethiopia.,Rich and chocolatey with nutty undertones
166,Blue Mountain,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Costa Rica.,Earthy and spicy with bold depth
167,SL34,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Panama.,Rich and chocolatey with nutty undertones
168,Lekempti,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Panama.,Winey acidity and tropical fruit aroma
169,Maracaturra,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Brazil.,Smooth body with caramel sweetness
170,Catuaí,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Ethiopia.,Floral and fruity with tea-like notes
171,Yirgacheffe,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Ethiopia.,Bright acidity with hints of citrus and berries
172,Bale,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Panama.,Earthy and spicy with bold depth
173,SL28,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Indonesia.,Smooth body with caramel sweetness
174,Maracaturra,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Brazil.,Earthy and spicy with bold depth
175,Caturra,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Guatemala.,Winey acidity and tropical fruit aroma
176,Mundo Novo,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Kenya.,Bright acidity with hints of citrus and berries
177,Pacas,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Indonesia.,Rich and chocolatey with nutty undertones
178,Mundo Novo,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Yemen.,Earthy and spicy with bold depth
179,Yirgacheffe,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Brazil.,Winey acidity and tropical fruit aroma
180,Icatu,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Panama.,Bright acidity with hints of citrus and berries
181,Ruiru 11,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Brazil.,Bright acidity with hints of citrus and berries
182,Tupi,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Guatemala.,Earthy and spicy with bold depth
183,Rume Sudan,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Costa Rica.,Bright acidity with hints of citrus and berries
184,S795,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Costa Rica.,Earthy and spicy with bold depth
185,Jimma,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Brazil.,Bright acidity with hints of citrus and berries
186,Anacafe 14,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Costa Rica.,Smooth body with caramel sweetness
187,Bale,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Guatemala.,Sweet and balanced with honey notes
188,Sarchimor,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Costa Rica.,Floral and fruity with tea-like notes
189,Blue Mountain,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Kenya.,Earthy and spicy with bold depth
190,Java,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Ethiopia.,Rich and chocolatey with nutty undertones
191,Bale,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Brazil.,Floral and fruity with tea-like notes
192,Harrar Longberry,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Panama.,Smooth body with caramel sweetness
193,Blue Mountain,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Kenya.,Earthy and spicy with bold depth
194,Harrar Longberry,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Ethiopia.,Sweet and balanced with honey notes
195,Colombia,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Brazil.,Rich and chocolatey with nutty undertones
196,Harar,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Brazil.,Winey acidity and tropical fruit aroma
197,Parainema,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Ethiopia.,Earthy and spicy with bold depth
198,Pacamara,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Panama.,Earthy and spicy with bold depth
199,Yirgacheffe,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Indonesia.,Floral and fruity with tea-like notes
200,Mokka,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Indonesia.,Smooth body with caramel sweetness
